newspaper,person,name_variation,page_number,date,url,previous page
estadao,José Carlos Reis Lavouras,José+Lavouras,60,"09/06/2017, SEXTA-FEIRA, PÁGINA a3",https://acervo.estadao.com.br/pagina/#!/20170609-45160-nac-3-edi-a3-not/busca/lavouras,https://acervo.estadao.com.br/procura/busca.php?&busca=Jos%C3%A9+Lavouras&decade=2010%7C2010&page=60
estadao,José Carlos Reis Lavouras,José+Lavouras,60,"09/06/2017, SEXTA-FEIRA, PÁGINA a3",https://acervo.estadao.com.br/pagina/#!/20170609-45160-spo-3-edi-a3-not/busca/lavouras,https://acervo.estadao.com.br/procura/busca.php?&busca=Jos%C3%A9+Lavouras&decade=2010%7C2010&page=60
estadao,José Carlos Reis Lavouras,José+Lavouras,60,"16/09/2018, DOMINGO, PÁGINA a3",https://acervo.estadao.com.br/pagina/#!/20180916-45624-spo-3-edi-a3-not/busca/lavouras,https://acervo.estadao.com.br/procura/busca.php?&busca=Jos%C3%A9+Lavouras&decade=2010%7C2010&page=60
estadao,José Carlos Reis Lavouras,José+Lavouras,61,"16/09/2018, DOMINGO, PÁGINA a3",https://acervo.estadao.com.br/pagina/#!/20180916-45624-nac-3-edi-a3-not/busca/lavouras,https://acervo.estadao.com.br/procura/busca.php?&busca=Jos%C3%A9+Lavouras&decade=2010%7C2010&page=61
estadao,José Carlos Reis Lavouras,José+Lavouras,61,"12/04/2017, QUARTA-FEIRA, PÁGINA b6",https://acervo.estadao.com.br/pagina/#!/20170412-45102-nac-27-eco-b6-not/busca/lavouras,https://acervo.estadao.com.br/procura/busca.php?&busca=Jos%C3%A9+Lavouras&decade=2010%7C2010&page=61
estadao,José Carlos Reis Lavouras,José+Lavouras,61,"14/04/2013, DOMINGO, PÁGINA c9",https://acervo.estadao.com.br/pagina/#!/20130414-43643-nac-36-cid-c9-not/busca/Jos%C3%A9,https://acervo.estadao.com.br/procura/busca.php?&busca=Jos%C3%A9+Lavouras&decade=2010%7C2010&page=61
estadao,José Carlos Reis Lavouras,José+Lavouras,61,"14/04/2013, DOMINGO, PÁGINA c9",https://acervo.estadao.com.br/pagina/#!/20130414-43643-spo-36-cid-c9-not/busca/Jos%C3%A9,https://acervo.estadao.com.br/procura/busca.php?&busca=Jos%C3%A9+Lavouras&decade=2010%7C2010&page=61
estadao,José Carlos Reis Lavouras,José+Lavouras,61,"12/04/2017, QUARTA-FEIRA, PÁGINA b6",https://acervo.estadao.com.br/pagina/#!/20170412-45102-spo-29-eco-b6-not/busca/lavouras,https://acervo.estadao.com.br/procura/busca.php?&busca=Jos%C3%A9+Lavouras&decade=2010%7C2010&page=61
estadao,José Carlos Reis Lavouras,José+Lavouras,61,"07/05/2013, TERÇA-FEIRA, PÁGINA b10",https://acervo.estadao.com.br/pagina/#!/20130507-43666-nac-27-eco-b10-not/busca/lavouras,https://acervo.estadao.com.br/procura/busca.php?&busca=Jos%C3%A9+Lavouras&decade=2010%7C2010&page=61
estadao,José Carlos Reis Lavouras,José+Lavouras,61,"07/05/2013, TERÇA-FEIRA, PÁGINA b10",https://acervo.estadao.com.br/pagina/#!/20130507-43666-spo-27-eco-b10-not/busca/lavouras,https://acervo.estadao.com.br/procura/busca.php?&busca=Jos%C3%A9+Lavouras&decade=2010%7C2010&page=61
